12:28:34:706,calibrate
12:28:36:208,start
12:28:39:814,answered
12:28:41:410,calibrate
12:28:42:911,start
12:28:44:397,answered
12:28:45:785,calibrate
12:28:47:286,start
12:28:49:349,answered
12:28:50:777,calibrate
12:28:52:278,start
12:28:53:974,answered
12:28:55:538,calibrate
12:28:57:39,start
12:28:58:837,answered
12:29:0:273,calibrate
12:29:1:775,start
12:29:3:205,answered
12:29:4:633,calibrate
12:29:6:134,start
12:29:9:373,answered
12:29:10:554,calibrate
12:29:12:55,start
12:29:13:109,answered
12:29:14:546,calibrate
12:29:16:46,start
12:29:16:693,answered
12:29:18:74,calibrate
12:29:19:575,start
12:29:22:750,answered
12:29:23:930,calibrate
12:29:25:431,start
12:29:28:143,answered
12:29:29:539,calibrate
12:29:31:40,start
12:29:35:70,answered
12:29:36:178,calibrate
12:29:37:679,start
12:29:40:486,answered
12:29:41:634,calibrate
12:29:43:135,start
12:29:43:806,answered
12:29:45:66,calibrate
12:29:46:568,start
12:29:49:502,answered
12:29:50:698,calibrate
12:29:52:199,start
12:29:53:38,answered
12:29:54:450,calibrate
12:29:55:951,start
12:29:57:774,answered
12:29:59:98,calibrate
12:30:0:599,start
12:30:3:407,answered
12:30:4:707,calibrate
12:30:6:208,start
12:30:6:871,answered
12:30:8:659,calibrate
12:30:10:159,start
12:30:12:6,answered
12:30:13:394,calibrate
12:30:14:895,start
12:30:16:878,answered
12:30:18:170,calibrate
12:30:19:671,start
12:30:24:143,answered
12:30:25:355,calibrate
12:30:26:855,start
12:30:29:894,answered
12:30:31:234,calibrate
12:30:32:735,start
12:30:35:238,answered
12:30:36:914,calibrate
12:30:38:416,start
12:30:40:63,answered
12:30:42:154,calibrate
12:30:43:655,start
12:30:45:982,answered
12:30:47:178,calibrate
12:30:48:679,start
12:30:51:246,answered
12:30:52:402,calibrate
12:30:53:903,start
12:30:57:39,answered
12:30:58:195,calibrate
12:30:59:695,start
12:31:1:471,answered
12:31:2:570,calibrate
12:31:4:71,start
12:31:11:502,answered
12:31:12:690,calibrate
12:31:14:192,start
12:31:16:783,answered
12:31:18:83,calibrate
12:31:19:583,start
12:31:22:902,answered
12:31:23:962,calibrate
12:31:25:463,start
12:31:28:798,answered
12:31:30:170,calibrate
12:31:31:672,start
12:31:32:759,answered
12:31:33:955,calibrate
12:31:35:455,start
12:31:37:950,answered
12:31:39:147,calibrate
12:31:40:647,start
12:31:41:454,answered
12:31:42:586,calibrate
12:31:44:87,start
12:31:49:191,answered
12:31:50:195,calibrate
12:31:51:696,start
12:31:57:663,answered
12:31:59:74,calibrate
12:32:0:575,start
12:32:2:750,answered
12:32:4:194,calibrate
12:32:5:696,start
12:32:6:607,answered
